accession	length	label
A1KAA5	271	negative
P69212	121	negative
Q84GJ3	406	negative
Q54XF2	202	negative
Q1RJI9	391	negative
A9WB45	587	negative
Q9RA51	380	negative
Q42972	356	negative
Q0HF55	224	negative
Q28719	349	negative
Q12414	1755	negative
Q7LZ71	129	negative
Q18LF8	659	negative
Q332W1	83	negative
Q9X295	401	negative
P97570	807	negative
P51242	504	negative
Q07759	560	negative
Q1GTM7	311	negative
Q48C90	162	negative
Q8C779	850	negative
O43913	435	negative
B7HCQ3	370	negative
Q0ICI5	369	negative
A9BGW2	574	negative
Q8AXS4	167	negative
B5ERJ0	401	negative
Q0TKT1	1024	negative
A8F8B7	815	negative
Q9P7Q7	1639	negative
Q6Q8B3	271	negative
C1B025	61	negative
Q8MJ03	2149	negative
B3W8W8	49	negative
B0BST5	91	negative
Q6PGT3	701	negative
Q8JN60	2210	negative
Q5L715	111	negative
Q914J3	89	negative
A5U8B7	448	negative
C0MCB8	68	negative
P53937	143	negative
Q9C633	266	negative
B4TZX8	55	negative
P21688	175	negative
O58307	157	negative
Q8W4J9	908	negative
Q2MY43	387	negative
Q92196	162	negative
P67819	145	negative
Q34683	380	negative
Q9I0M3	811	negative
C1CAV6	366	negative
Q8BHG9	167	negative
Q51910	696	negative
B5XPB9	1040	negative
B7NLK8	429	negative
B7LT86	511	negative
B2TD41	257	negative
Q04BY9	312	negative
Q74HC8	298	negative
P04063	427	negative
C3LQT6	269	negative
Q812R8	88	negative
Q54UD0	319	negative
B7VJ87	952	negative
Q5UNT8	255	negative
C0Z4E5	478	negative
Q7SBC5	392	negative
Q1CJK4	299	negative
A5GN78	124	negative
Q9SYT0	317	negative
Q2RQY4	340	negative
Q2MJV8	387	negative
A3CLS2	198	negative
P15187	818	negative
Q7A184	96	negative
C5FZT5	394	negative
Q08506	319	negative
A2RNN8	178	negative
Q0C8Z1	311	negative
Q9DFR6	151	negative
P0A3L6	240	negative
Q5I7K9	112	negative
B0Y3W4	466	negative
Q6UXB1	125	negative
A9WMF8	450	negative
Q59PR3	440	negative
Q6IR61	276	negative
Q1BZD6	578	negative
P0DI70	176	negative
B5BA35	326	negative
Q1C6B0	225	negative
A9MHX5	427	negative
A7GES9	430	negative
Q8Y6Q4	252	negative
Q62981	407	negative
Q93246	310	negative
A1A3C5	494	negative
B4HZE8	549	negative
B7I784	244	negative
Q0HSZ1	304	negative
A9Y006	290	negative
C5A063	277	negative
C1L2R7	450	negative
Q6BWR0	210	negative
Q54087	282	negative
Q5P162	434	negative
P09029	355	negative
A2BVC4	178	negative
Q9CBU2	84	negative
Q747Q2	338	negative
A9BDA6	115	negative
A1KS25	213	negative
Q9CG17	258	negative
Q29HT0	397	negative
B6END8	445	negative
Q54CJ3	236	negative
F1PBJ0	1498	negative
Q6LXQ4	438	negative
Q9I9H8	1261	negative
O09486	426	negative
A1KST5	60	negative
A0A3G5BID2	202	negative
Q9N0B3	370	negative
A1KB69	188	negative
P51552	256	negative
B4HXL7	248	negative
B8E1E4	105	negative
B7M300	337	negative
Q58604	226	negative
A0A8B7DWS6	186	negative
A5GDA7	458	negative
