query	subject	e_value	bitscore	pident	length
A1KAA5	sp|P12111|CO6A3_HUMAN	2.1	20.4	25.882	85
P69212	sp|P12111|CO6A3_HUMAN	1.5	19.2	47.368	19
Q84GJ3	sp|P12111|CO6A3_HUMAN	4.3	20.0	40.0	30
Q84GJ3	sp|P12111|CO6A3_HUMAN	7.5	19.2	25.843	89
Q84GJ3	sp|Q9BQY6|WFDC6_HUMAN	5.8	19.2	26.042	96
Q84GJ3	sp|Q2UY09|COSA1_HUMAN	5.9	19.6	25.0	24
Q84GJ3	sp|O95428|PPN_HUMAN	9.1	18.9	29.412	34
Q54XF2	sp|P12111|CO6A3_HUMAN	2.5	19.6	25.532	47
Q54XF2	sp|P12111|CO6A3_HUMAN	4.3	18.9	37.5	32
Q54XF2	sp|P05067|A4_HUMAN	3.2	19.2	29.787	47
Q54XF2	sp|P02760|AMBP_HUMAN	4.1	18.9	21.277	47
Q54XF2	sp|P02760|AMBP_HUMAN	7.3	18.1	24.324	37
Q54XF2	sp|Q06481|APLP2_HUMAN	6.6	18.1	28.205	39
Q54XF2	sp|Q02388|CO7A1_HUMAN	7.7	18.1	34.884	43
Q1RJI9	sp|Q02388|CO7A1_HUMAN	1.2	21.9	24.59	61
Q1RJI9	sp|Q2UY09|COSA1_HUMAN	2.5	20.8	27.692	65
Q1RJI9	sp|Q2UY09|COSA1_HUMAN	8.5	18.9	47.059	17
Q1RJI9	sp|P12111|CO6A3_HUMAN	4.3	20.0	33.333	42
Q1RJI9	sp|P12111|CO6A3_HUMAN	8.4	19.2	32.558	43
Q1RJI9	sp|P12111|CO6A3_HUMAN	8.9	18.9	25.0	48
A9WB45	sp|P05067|A4_HUMAN	1.2	22.3	26.316	38
A9WB45	sp|P05067|A4_HUMAN	7.1	20.0	25.0	72
A9WB45	sp|Q8IUA0|WFDC8_HUMAN	1.5	21.9	31.034	29
A9WB45	sp|Q96NZ8|WFKN1_HUMAN	3.2	20.8	19.672	61
A9WB45	sp|Q02388|CO7A1_HUMAN	3.2	21.2	32.075	53
A9WB45	sp|P12111|CO6A3_HUMAN	7.0	20.0	35.0	20
Q9RA51	sp|Q2UY09|COSA1_HUMAN	2.7	20.4	29.167	48
Q9RA51	sp|Q8TEU8|WFKN2_HUMAN	3.2	20.4	28.205	39
Q9RA51	sp|P05067|A4_HUMAN	4.7	19.6	40.0	35
Q9RA51	sp|O43278|SPIT1_HUMAN	5.9	19.2	42.857	14
Q9RA51	sp|Q96NZ8|WFKN1_HUMAN	6.4	19.2	25.0	44
Q9RA51	sp|Q02388|CO7A1_HUMAN	7.7	19.2	42.857	21
Q9RA51	sp|P12111|CO6A3_HUMAN	9.7	18.9	33.333	36
Q9RA51	sp|P12111|CO6A3_HUMAN	9.9	18.9	33.333	39
Q42972	sp|Q96NZ8|WFKN1_HUMAN	0.4	23.1	28.125	64
Q42972	sp|Q96NZ8|WFKN1_HUMAN	2.6	20.4	30.909	55
Q42972	sp|Q96NZ8|WFKN1_HUMAN	4.3	19.6	55.0	20
Q42972	sp|Q8TEU8|WFKN2_HUMAN	1.1	21.6	70.0	10
Q42972	sp|Q2UY09|COSA1_HUMAN	2.1	20.8	27.5	40
Q42972	sp|O95428|PPN_HUMAN	3.1	20.4	30.612	49
Q42972	sp|P02760|AMBP_HUMAN	4.1	19.6	34.884	43
Q28719	sp|Q02388|CO7A1_HUMAN	0.89	21.9	34.146	41
