target_name	e_value	score	description
Q868Z9	8.6e-84	271.2	-
O76840	9.4e-71	229.3	-
A0A6P8HC43	5.2e-57	185.2	-
Q02445	3.2e-47	153.7	-
Q28864	7.9e-46	149.3	-
O54819	3.5e-43	140.8	-
P19761	5.3e-40	130.5	-
Q5IS80	1.8e-36	119.2	-
P79307	2.1e-36	119.0	-
P08592	2.1e-36	119.0	-
P53601	2.7e-36	118.7	-
Q60495	4.4e-36	118.0	-
P12023	9.4e-36	116.9	-
Q95241	1e-35	116.8	-
P84875	1.8e-33	109.5	-
Q7YRQ8	7.9e-32	104.3	-
O93279	4.1e-30	98.8	-
O73683	4.7e-29	95.4	-
B6ZIW0	5.4e-28	92.0	-
W4VSH9	6.8e-28	91.7	-
O35536	9.7e-28	91.2	-
Q8WPI3	9.9e-27	87.9	-
Q8WPI2	1.1e-26	87.8	-
C0HMC7	5.2e-26	85.6	-
Q9WU03	1.3e-25	84.3	-
B2BS84	2.9e-24	80.0	-
Q9R097	2.7e-23	76.9	-
P00974	1.3e-22	74.7	-
Q5VJG2	2e-22	74.1	-
P00980	2.6e-22	73.7	-
P00979	3.4e-22	73.4	-
P04815	1.1e-20	68.5	-
P00975	1.6e-20	68.0	-
P00978	3.3e-20	67.0	-
Q60559	3.6e-20	66.9	-
Q06481	7.2e-19	62.7	-
Q62577	1.2e-18	62.0	-
Q07456	7.2e-18	59.5	-
P15943	7.8e-18	59.4	-
P0DMJ6	1.2e-17	58.8	-
Q7LZS8	1.2e-17	58.8	-
O62845	1.2e-17	58.7	-
C1IC50	1.3e-17	58.7	-
P00994	1.8e-17	58.2	-
Q29428	2.9e-17	57.5	-
Q6T6S5	3.1e-17	57.4	-
C0HLB2	3.2e-17	57.4	-
Q90W98	3.3e-17	57.4	-
Q08E66	3.3e-17	57.3	-
C0HLA5	3.5e-17	57.3	-
P00991	3.7e-17	57.2	-
B5L5M7	4e-17	57.1	-
C0HLA7	4.2e-17	57.0	-
P00984	4.9e-17	56.8	-
Q7LZE3	4.9e-17	56.8	-
Q64240	5.3e-17	56.7	-
Q29100	5.3e-17	56.7	-
B7S4N9	5.3e-17	56.7	-
C0HLA8	6.4e-17	56.4	-
C0HLA6	6.6e-17	56.4	-
P0DKL8	7.1e-17	56.3	-
Q28201	7.3e-17	56.3	-
P00993	8.6e-17	56.0	-
I2G9B4	1.1e-16	55.7	-
P10280	1.2e-16	55.5	-
P0DV05	1.7e-16	55.1	-
A0A1D0BND9	1.8e-16	55.0	-
P24541	2.1e-16	54.8	-
C0HJU7	2.1e-16	54.7	-
C0HK72	2.1e-16	54.7	-
Q29143	2.2e-16	54.7	-
P0DMW7	2.2e-16	54.7	-
P0DN08	2.3e-16	54.6	-
Q2ES47	2.4e-16	54.6	-
P0DN09	2.5e-16	54.5	-
C1IC52	2.6e-16	54.5	-
P0DMW6	3.1e-16	54.2	-
Q6T6T5	3.2e-16	54.2	-
A0A1Z0YU59	3.9e-16	53.9	-
P00986	4.1e-16	53.8	-
P0DJ47	4.2e-16	53.8	-
Q90W99	4.3e-16	53.8	-
E5AJX3	4.3e-16	53.8	-
C0HLA9	4.4e-16	53.7	-
A8Y7N9	4.6e-16	53.7	-
P49223	6.5e-16	53.2	-
Q8AY43	6.8e-16	53.1	-
C1IC51	7.3e-16	53.0	-
Q2ES46	8.6e-16	52.8	-
P0C8W3	8.7e-16	52.8	-
B6RLX2	1e-15	52.5	-
P00985	1.1e-15	52.5	-
P00976	1.2e-15	52.4	-
P0DMJ4	1.2e-15	52.3	-
Q6NUX0	1.2e-15	52.3	-
P0DN07	1.3e-15	52.3	-
P00992	1.3e-15	52.2	-
C1IC53	1.5e-15	52.0	-
P00982	1.6e-15	51.9	-
P0DN11	1.7e-15	51.9	-
P0DMX0	1.7e-15	51.8	-
P86862	1.8e-15	51.8	-
F8J2F5	1.8e-15	51.8	-
B4ESA4	2.1e-15	51.6	-
P81547	2.1e-15	51.5	-
P20229	2.2e-15	51.5	-
B4ESA3	2.9e-15	51.1	-
P0DN17	3e-15	51.0	-
P0DQR1	3.1e-15	51.0	-
Q8AY42	3.1e-15	51.0	-
F8J2F3	3.4e-15	50.9	-
B5KF95	3.7e-15	50.8	-
B5KL36	3.7e-15	50.8	-
A5X2X1	4.1e-15	50.6	-
Q8T3S7	4.2e-15	50.6	-
P0DN10	5.4e-15	50.2	-
P0DJ50	5.8e-15	50.1	-
C0HK73	5.9e-15	50.1	-
Q90WA1	6.3e-15	50.0	-
P81129	7.2e-15	49.8	-
Q9TWF8	7.3e-15	49.8	-
P0DV04	7.4e-15	49.8	-
Q964Q0	8.4e-15	49.6	-
B5L5R7	8.7e-15	49.6	-
B2ZBB6	8.7e-15	49.6	-
Q7TQN3	9.1e-15	49.5	-
Q9TWG0	9.4e-15	49.5	-
P0DMJ3	9.8e-15	49.4	-
P0DN14	9.9e-15	49.4	-
P81902	9.9e-15	49.4	-
P0DMJ2	1e-14	49.4	-
P68425	1.1e-14	49.3	-
A8Y7N4	1.1e-14	49.3	-
H6VC05	1.1e-14	49.3	-
A7X3V4	1.2e-14	49.1	-
P16044	1.3e-14	49.1	-
B5KL37	1.3e-14	49.0	-
C8YJ94	1.3e-14	49.0	-
B5KF96	1.5e-14	48.8	-
P31713	1.5e-14	48.8	-
A0A6B7FBD3	1.7e-14	48.7	-
P0DJ76	1.8e-14	48.6	-
Q9GP15	1.8e-14	48.5	-
P0DN18	1.9e-14	48.5	-
B5L5R0	1.9e-14	48.5	-
P0DN06	1.9e-14	48.5	-
C0HJU6	1.9e-14	48.5	-
Q8AY41	1.9e-14	48.5	-
P0DN13	2e-14	48.4	-
C0HK74	2e-14	48.4	-
P25660	2.1e-14	48.4	-
B5G6G6	2.3e-14	48.2	-
B5KL40	2.3e-14	48.2	-
C8YJ95	2.5e-14	48.1	-
A8Y7N8	2.6e-14	48.0	-
Q8TEU8	2.6e-14	48.0	-
Q90WA0	2.8e-14	48.0	-
A8Y7N7	2.8e-14	47.9	-
B1B5I8	3e-14	47.9	-
A7X3V7	3e-14	47.9	-
A6MFL4	3.2e-14	47.8	-
P0DMJ5	3.2e-14	47.8	-
A8Y7P3	3.3e-14	47.7	-
B5KL39	3.6e-14	47.6	-
A8Y7N6	3.6e-14	47.6	-
P00990	3.6e-14	47.6	-
C1IBY4	4.1e-14	47.4	-
A8Y7P6	4.1e-14	47.4	-
B5L5R4	4.1e-14	47.4	-
B5KL35	4.2e-14	47.4	-
P0DQQ9	4.5e-14	47.3	-
Q6ITB9	5.1e-14	47.1	-
D5J9Q8	5.1e-14	47.1	-
P82968	5.6e-14	47.0	-
A6MGY1	5.7e-14	46.9	-
E7FL13	6.7e-14	46.7	-
E7FL12	6.8e-14	46.7	-
Q6ITB0	6.9e-14	46.7	-
Q6ITB1	6.9e-14	46.7	-
B5KL34	6.9e-14	46.7	-
B5L5Q8	7.2e-14	46.6	-
Q6ITB4	7.7e-14	46.5	-
Q6ITB6	7.7e-14	46.5	-
A6MFL3	7.7e-14	46.5	-
A8Y7P2	8.2e-14	46.4	-
H6VC06	8.3e-14	46.4	-
P81548	8.5e-14	46.4	-
A8Y7P0	9.4e-14	46.3	-
Q2ES50	9.4e-14	46.3	-
