target_name	accession	e_value	score	description
sp|Q868Z9|PPN_DROME	-	1.3e-80	271.2	Papilin OS=Drosophila melanogaster OX=7227 GN=Ppn PE=1 SV=2
sp|O76840|PPN1_CAEEL	-	1.5e-67	229.3	Papilin OS=Caenorhabditis elegans OX=6239 GN=mig-6 PE=1 SV=1
sp|A0A6P8HC43|ATPI1_ACTTE	-	8.1e-54	185.2	Actinia tenebrosa protease inhibitors OS=Actinia tenebrosa OX=6105 PE=1 SV=1
sp|Q02445|TFPI1_RAT	-	4.9e-44	153.7	Tissue factor pathway inhibitor OS=Rattus norvegicus OX=10116 GN=Tfpi PE=2 SV=1
sp|Q28864|TFPI1_MACMU	-	1.2e-42	149.3	Tissue factor pathway inhibitor OS=Macaca mulatta OX=9544 GN=TFPI PE=2 SV=1
sp|P10646|TFPI1_HUMAN	-	2.6e-40	141.8	Tissue factor pathway inhibitor OS=Homo sapiens OX=9606 GN=TFPI PE=1 SV=1
sp|O54819|TFPI1_MOUSE	-	5.4e-40	140.8	Tissue factor pathway inhibitor OS=Mus musculus OX=10090 GN=Tfpi PE=2 SV=1
sp|P19761|TFPI1_RABIT	-	8.3e-37	130.5	Tissue factor pathway inhibitor OS=Oryctolagus cuniculus OX=9986 GN=TFPI PE=2 SV=2
sp|Q5IS80|A4_PANTR	-	2.9e-33	119.2	Amyloid-beta precursor protein OS=Pan troglodytes OX=9598 GN=APP PE=2 SV=1
sp|P79307|A4_PIG	-	3.2e-33	119.0	Amyloid-beta precursor protein OS=Sus scrofa OX=9823 GN=APP PE=2 SV=2
sp|P08592|A4_RAT	-	3.2e-33	119.0	Amyloid-beta precursor protein OS=Rattus norvegicus OX=10116 GN=App PE=1 SV=2
sp|P53601|A4_MACFA	-	4.2e-33	118.7	Amyloid-beta precursor protein OS=Macaca fascicularis OX=9541 GN=APP PE=2 SV=3
sp|P05067|A4_HUMAN	-	5.8e-33	118.2	Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3
sp|Q60495|A4_CAVPO	-	6.9e-33	118.0	Amyloid-beta precursor protein OS=Cavia porcellus OX=10141 GN=APP PE=1 SV=2
sp|P12023|A4_MOUSE	-	1.5e-32	116.9	Amyloid-beta precursor protein OS=Mus musculus OX=10090 GN=App PE=1 SV=3
sp|Q95241|A4_SAISC	-	1.6e-32	116.8	Amyloid-beta precursor protein OS=Saimiri sciureus OX=9521 GN=APP PE=2 SV=1
sp|P84875|PCPI_SABMA	-	2.9e-30	109.5	Carboxypeptidase inhibitor SmCI OS=Sabellastarte magnifica OX=389514 PE=1 SV=1
sp|Q7YRQ8|TFPI2_BOVIN	-	1.2e-28	104.3	Tissue factor pathway inhibitor 2 OS=Bos taurus OX=9913 GN=TFPI2 PE=2 SV=1
sp|O93279|A4_TAKRU	-	6.4e-27	98.8	Amyloid-beta A4 protein OS=Takifugu rubripes OX=31033 GN=app PE=3 SV=1
sp|O43291|SPIT2_HUMAN	-	1.7e-26	97.4	Kunitz-type protease inhibitor 2 OS=Homo sapiens OX=9606 GN=SPINT2 PE=1 SV=2
sp|O73683|A4_DICFU	-	7.4e-26	95.4	Amyloid-beta A4 protein OS=Dichotomyctere fluviatilis OX=2593188 GN=app PE=2 SV=1
sp|B6ZIW0|KUN_HAELO	-	8.5e-25	92.0	Thrombin inhibitor hemalin OS=Haemaphysalis longicornis OX=44386 PE=2 SV=1
sp|W4VSH9|VKT1_TRILK	-	1.1e-24	91.7	Kunitz-type U19-barytoxin-Tl1a OS=Trittame loki OX=1295018 PE=2 SV=2
sp|O35536|TFPI2_MOUSE	-	1.5e-24	91.2	Tissue factor pathway inhibitor 2 OS=Mus musculus OX=10090 GN=Tfpi2 PE=2 SV=1
sp|Q8WPI3|KUNIG_RHIMP	-	1.5e-23	87.9	Boophilin-G2 OS=Rhipicephalus microplus OX=6941 PE=1 SV=1
