query	subject	e_value	bitscore	pident	length
A0A1Z0YU59	sp|P10646|TFPI1_HUMAN	2.98e-16	61.2	43.636	55
A0A1Z0YU59	sp|P10646|TFPI1_HUMAN	1.23e-14	57.0	40.741	54
A0A1Z0YU59	sp|P10646|TFPI1_HUMAN	4.03e-11	47.0	40.741	54
A0A1Z0YU59	sp|Q02388|CO7A1_HUMAN	8.17e-15	57.8	46.296	54
A0A1Z0YU59	sp|P12111|CO6A3_HUMAN	1.77e-14	56.6	41.176	51
A0A1Z0YU59	sp|P48307|TFPI2_HUMAN	3.12e-14	55.5	45.283	53
A0A1Z0YU59	sp|P48307|TFPI2_HUMAN	9.09e-10	43.1	40.0	50
A0A1Z0YU59	sp|P48307|TFPI2_HUMAN	0.005	24.3	29.31	58
A0A1Z0YU59	sp|O95925|EPPI_HUMAN	3.41e-14	53.9	40.0	55
A0A1Z0YU59	sp|P49223|SPIT3_HUMAN	4.53e-14	52.4	38.889	54
A0A1Z0YU59	sp|Q8TEU8|WFKN2_HUMAN	5.59e-14	55.1	43.137	51
A0A1Z0YU59	sp|Q8TEU8|WFKN2_HUMAN	9.18e-07	34.7	30.769	52
A0A1Z0YU59	sp|P02760|AMBP_HUMAN	4.15e-13	52.8	43.137	51
A0A1Z0YU59	sp|P02760|AMBP_HUMAN	3.29e-12	50.1	43.137	51
A0A1Z0YU59	sp|Q96NZ8|WFKN1_HUMAN	7.47e-13	52.0	45.098	51
A0A1Z0YU59	sp|Q96NZ8|WFKN1_HUMAN	1.78e-05	31.2	31.818	44
A0A1Z0YU59	sp|Q2UY09|COSA1_HUMAN	8.32e-13	52.0	36.538	52
A0A1Z0YU59	sp|P05067|A4_HUMAN	3.23e-12	50.1	45.455	44
A0A1Z0YU59	sp|O95428|PPN_HUMAN	2.65e-11	47.8	37.5	56
A0A1Z0YU59	sp|Q06481|APLP2_HUMAN	4.39e-11	47.0	33.962	53
A0A1Z0YU59	sp|O43291|SPIT2_HUMAN	9.17e-11	45.8	35.849	53
A0A1Z0YU59	sp|O43291|SPIT2_HUMAN	3.95e-09	41.6	33.962	53
A0A1Z0YU59	sp|Q8IUA0|WFDC8_HUMAN	7.78e-10	43.5	40.385	52
A0A1Z0YU59	sp|O43278|SPIT1_HUMAN	8.61e-10	43.5	40.0	55
A0A1Z0YU59	sp|O43278|SPIT1_HUMAN	2.69e-08	39.3	38.462	52
A0A1Z0YU59	sp|Q6UDR6|SPIT4_HUMAN	9.83e-07	33.9	28.302	53
A0A1Z0YU59	sp|Q9BQY6|WFDC6_HUMAN	1.24e-05	31.2	48.387	31
B2G331	sp|Q06481|APLP2_HUMAN	3.66e-19	70.9	50.909	55
B2G331	sp|Q8TEU8|WFKN2_HUMAN	2.54e-18	68.6	54.902	51
B2G331	sp|Q8TEU8|WFKN2_HUMAN	2.71e-09	43.1	37.255	51
B2G331	sp|O95925|EPPI_HUMAN	4.07e-17	62.4	42.593	54
B2G331	sp|P05067|A4_HUMAN	1.68e-16	63.5	56.818	44
B2G331	sp|P48307|TFPI2_HUMAN	6.68e-16	60.8	51.852	54
B2G331	sp|P48307|TFPI2_HUMAN	9.64e-10	43.9	42.857	49
B2G331	sp|P48307|TFPI2_HUMAN	0.028	23.1	26.923	52
B2G331	sp|P49223|SPIT3_HUMAN	1.5e-15	57.0	44.444	54
B2G331	sp|O43291|SPIT2_HUMAN	1.86e-14	57.0	49.02	51
B2G331	sp|O43291|SPIT2_HUMAN	2.37e-13	54.3	45.098	51
B2G331	sp|O43291|SPIT2_HUMAN	6.8	16.5	43.75	16
B2G331	sp|P02760|AMBP_HUMAN	2.48e-14	57.4	47.17	53
B2G331	sp|P02760|AMBP_HUMAN	5.85e-11	47.8	43.478	46
B2G331	sp|P10646|TFPI1_HUMAN	3.48e-14	56.6	54.545	44
B2G331	sp|P10646|TFPI1_HUMAN	4.73e-13	53.5	38.983	59
B2G331	sp|P10646|TFPI1_HUMAN	1.03e-11	49.7	46.296	54
B2G331	sp|Q96NZ8|WFKN1_HUMAN	1.35e-13	55.1	42.593	54
B2G331	sp|Q96NZ8|WFKN1_HUMAN	1.85e-07	37.7	34.091	44
B2G331	sp|O95428|PPN_HUMAN	1.63e-13	55.1	41.509	53
B2G331	sp|P12111|CO6A3_HUMAN	5.95e-13	53.5	40.385	52
B2G331	sp|Q2UY09|COSA1_HUMAN	5.39e-12	50.8	37.255	51
B2G331	sp|Q2UY09|COSA1_HUMAN	4.5	16.9	40.0	15
B2G331	sp|Q02388|CO7A1_HUMAN	5.75e-12	50.4	46.296	54
B2G331	sp|O43278|SPIT1_HUMAN	4.45e-11	48.1	32.184	87
B2G331	sp|O43278|SPIT1_HUMAN	1.41e-09	43.9	38.462	52
B2G331	sp|Q8IUA0|WFDC8_HUMAN	1.86e-10	46.2	45.098	51
B2G331	sp|Q9BQY6|WFDC6_HUMAN	8.86e-07	35.4	46.875	32
B2G331	sp|Q6UDR6|SPIT4_HUMAN	2.02e-06	33.9	34.286	35
B7S4N9	sp|P10646|TFPI1_HUMAN	1.16e-19	72.0	50.877	57
B7S4N9	sp|P10646|TFPI1_HUMAN	3.29e-17	65.5	48.077	52
