accession	length	label
A0A1Z0YU59	57	positive
B2G331	78	positive
B7S4N9	88	positive
I2G9B4	95	positive
M9PE65	2179	positive
O62247	202	positive
O73683	780	positive
O76840	2167	positive
O93279	737	positive
P00974	100	positive
P00978	352	positive
P00980	59	positive
P00982	57	positive
P08592	770	positive
P12023	770	positive
P15943	765	positive
P53601	770	positive
P68425	88	positive
P79307	770	positive
P84875	165	positive
Q07456	349	positive
Q2UY11	1141	positive
Q5IS80	770	positive
Q60495	770	positive
Q60559	349	positive
Q62577	346	positive
Q63870	2944	positive
Q64240	349	positive
Q7TQN3	571	positive
Q868Z9	2898	positive
Q95241	751	positive
Q9R097	507	positive
Q9WU03	252	positive
A0A6P8HC43	285	positive
A8Y7P1	84	positive
B1B5I8	81	positive
B5M0W4	102	positive
B6RLX2	83	positive
C0HJF3	56	positive
C0HJF4	56	positive
C0HJU6	56	positive
C0HJU7	56	positive
C0HLB2	68	positive
D8KY58	82	positive
F5GTK6	106	positive
G9I929	84	positive
H6VC05	90	positive
H6VC06	84	positive
O54819	306	positive
P00979	60	positive
P00983	57	positive
P00987	85	positive
P00989	85	positive
P00991	90	positive
P00992	93	positive
P0C1X2	86	positive
P0C5J5	552	positive
P0C8W3	88	positive
P0DJ45	80	positive
P0DJ46	80	positive
P0DJ50	81	positive
P0DMJ5	78	positive
P0DN15	87	positive
P15989	3137	positive
P25660	65	positive
P31713	55	positive
P82966	83	positive
P86862	65	positive
Q02445	302	positive
Q09JW6	144	positive
Q5ZPJ7	81	positive
Q8R0S6	552	positive
Q8WPI2	142	positive
Q90WA1	83	positive
Q9DA01	134	positive
A0A1Q1NL17	101	positive
A0A6B7FBD3	85	positive
A8Y7N4	90	positive
A8Y7N5	84	positive
A8Y7N6	84	positive
A8Y7N7	90	positive
A8Y7N8	90	positive
A8Y7N9	96	positive
A8Y7P0	84	positive
A8Y7P2	84	positive
A8Y7P3	84	positive
A8Y7P4	84	positive
A8Y7P5	90	positive
A8Y7P6	84	positive
B2KTG1	83	positive
B2ZBB8	88	positive
B4ESA2	82	positive
B4ESA3	83	positive
B4ESA4	83	positive
B6ZIW0	141	positive
C0HK72	56	positive
C0HK73	56	positive
C0HK74	56	positive
C0HLA5	57	positive
C0HLA6	57	positive
C0HLA7	57	positive
C0HLA8	57	positive
C0HLA9	57	positive
C0HLB0	56	positive
C0HMC7	141	positive
C0LNR2	77	positive
C1IBY4	76	positive
C1IC50	81	positive
C1IC52	81	positive
C1IC53	83	positive
C8YJ94	76	positive
C8YJ95	76	positive
D2Y2Q6	88	positive
D4A2Z2	134	positive
D9IFL3	164	positive
E7FL11	83	positive
E7FL12	83	positive
E7FL13	83	positive
F8J2F6	83	positive
G3LH89	82	positive
O35536	230	positive
P00976	67	positive
P00984	59	positive
P00985	57	positive
P00986	57	positive
P00990	60	positive
P00993	110	positive
P00994	58	positive
P0CY85	88	positive
P0DJ47	70	positive
P0DJ48	59	positive
P0DJ49	59	positive
P0DJ75	88	positive
P0DJ76	88	positive
P0DJ78	88	positive
P0DJ79	88	positive
P0DJ80	88	positive
P0DJ81	88	positive
P0DJ82	88	positive
P0DJ84	88	positive
P0DJ85	88	positive
P0DKL8	66	positive
P0DL86	56	positive
P0DMJ2	57	positive
P0DMJ3	56	positive
P0DMJ4	56	positive
P0DMJ6	59	positive
P0DMX0	61	positive
P0DN06	82	positive
P0DN07	82	positive
P0DN08	82	positive
P0DN09	82	positive
P0DN10	82	positive
P0DN11	82	positive
P0DN12	82	positive
P0DN13	82	positive
P0DN14	82	positive
P0DN16	87	positive
P0DN17	82	positive
P0DN18	82	positive
P0DQQ9	51	positive
P0DQR0	51	positive
P0DQR1	51	positive
P0DV03	56	positive
P0DV04	56	positive
P0DV05	56	positive
P0DV06	56	positive
P10280	62	positive
P10832	62	positive
P16344	56	positive
P19761	300	positive
P19859	57	positive
P20229	57	positive
P24541	62	positive
P81129	55	positive
P81547	58	positive
P81548	58	positive
P81658	60	positive
P81902	55	positive
Q08E66	574	positive
Q1RPS9	83	positive
Q1RPT0	85	positive
Q28201	351	positive
Q28864	304	positive
Q29100	122	positive
Q29143	102	positive
Q29428	265	positive
Q2ES46	96	positive
Q2ES47	84	positive
Q589G4	75	positive
Q6NUX0	558	positive
Q6T6S5	90	positive
Q6T6T5	90	positive
Q7LZE3	59	positive
Q7LZS8	59	positive
Q7T2Q6	83	positive
Q7YRQ8	234	positive
Q8AY41	83	positive
Q8MVC4	330	positive
Q8T0W4	77	positive
Q8T3S7	170	positive
Q8WPG5	134	positive
Q8WPI3	142	positive
Q90W98	83	positive
Q90W99	83	positive
Q90WA0	83	positive
Q964Q0	165	positive
Q9BDL1	133	positive
Q9EPX2	1280	positive
Q9GP15	86	positive
Q9TWF8	59	positive
Q9TWF9	58	positive
Q9TWG0	58	positive
Q9W728	85	positive
W4VSH9	176	positive
A0A1D0BND9	123	positive
A5X2X1	152	positive
A6MFL1	83	positive
A6MFL2	83	positive
A6MFL3	83	positive
A6MFL4	83	positive
A6MGX9	83	positive
A6MGY1	83	positive
A7X3V4	90	positive
A7X3V7	98	positive
B2BS84	252	positive
B2KTG2	85	positive
B2KTG3	85	positive
B2ZBB6	88	positive
B2ZBB9	88	positive
B2ZBC0	88	positive
B5G6G6	83	positive
B5KF94	83	positive
B5KF95	83	positive
B5KF96	83	positive
B5KL27	83	positive
B5KL28	83	positive
B5KL29	83	positive
B5KL30	83	positive
B5KL31	83	positive
B5KL32	83	positive
B5KL33	83	positive
B5KL34	83	positive
B5KL35	83	positive
B5KL36	83	positive
B5KL37	83	positive
B5KL38	83	positive
B5KL39	83	positive
B5KL40	83	positive
B5KL41	83	positive
B5L5M7	84	positive
B5L5Q1	83	positive
B5L5Q3	79	positive
B5L5Q6	79	positive
B5L5Q8	83	positive
B5L5R0	83	positive
B5L5R1	83	positive
B5L5R4	83	positive
B5L5R6	83	positive
B5L5R7	83	positive
C1IC51	81	positive
C8YJ96	76	positive
C8YJ97	76	positive
D2Y2C2	88	positive
D2Y2F3	88	positive
D2Y2F4	88	positive
D2Y2F5	88	positive
D2Y2F6	88	positive
D2Y2F7	88	positive
D2Y2F8	88	positive
D2Y2F9	88	positive
D2Y2G0	88	positive
D2Y2G1	88	positive
D2Y2G2	88	positive
D2Y2Q1	88	positive
D2Y2Q2	88	positive
D2Y2Q5	88	positive
D2Y2Q7	88	positive
D2Y2Q8	88	positive
D2Y2Q9	88	positive
D2Y488	78	positive
D3GGZ8	195	positive
D5J9Q8	83	positive
E5AJX3	95	positive
F6ULY1	148	positive
F8J2F3	83	positive
F8J2F4	83	positive
F8J2F5	83	positive
H2A0M2	138	positive
H2A0N1	141	positive
H2A0N5	157	positive
H2A0N9	198	positive
H2A0P0	182	positive
I6VXS1	195	positive
O62845	83	positive
P00975	60	positive
P04815	100	positive
P07481	63	positive
P0DJ64	88	positive
P0DJ65	88	positive
P0DJ67	88	positive
P0DJ68	88	positive
P0DJ70	88	positive
P0DJ71	88	positive
P0DJ72	88	positive
P0DJ73	88	positive
P0DMJ1	88	positive
P0DMW6	59	positive
P0DMW7	59	positive
P10831	62	positive
P11424	63	positive
P16044	61	positive
P26228	57	positive
P81162	69	positive
P82968	197	positive
P86959	138	positive
P86963	337	positive
P86964	157	positive
Q03610	1561	positive
Q0PL65	61	positive
Q11101	176	positive
Q1RPS8	83	positive
Q2ES48	84	positive
Q2ES49	84	positive
Q2ES50	84	positive
Q3UW55	136	positive
Q4KUS1	273	positive
Q5VJG2	166	positive
Q6ITB0	83	positive
Q6ITB1	83	positive
Q6ITB2	83	positive
Q6ITB3	83	positive
Q6ITB4	83	positive
Q6ITB5	83	positive
Q6ITB6	83	positive
Q6ITB7	83	positive
Q6ITB8	83	positive
Q6ITB9	83	positive
Q6ITC0	83	positive
Q6ITC1	83	positive
Q75S50	85	positive
Q7Z1K3	194	positive
Q8AY42	83	positive
Q8AY43	83	positive
Q8AY44	85	positive
Q8AY45	85	positive
Q8AY46	85	positive
Q90W96	83	positive
Q90W97	83	positive
Q9D263	159	positive
